window_label,favorite_price_threshold_cents,sample_size,win_rate_pct,mean_pnl_cents,mean_pnl_ci_low_cents,mean_pnl_ci_high_cents,avg_entry_price_cents
T-3m,60.0,231,94.8051948051948,1.9791515151515158,-0.8802168451840179,4.838519875487049,92.35064935064936
T-3m,70.0,217,95.85253456221197,1.367345622119816,-1.3474010460484447,4.0820922902880765,94.10138248847926
T-60s,70.0,236,99.57627118644068,0.872970338983051,0.060949247168271686,1.6849914307978304,98.61144067796612
T-2m,70.0,223,97.30941704035875,0.7854843049327358,-1.2554817953781474,2.826450405243619,96.29192825112108
T-90s,70.0,223,97.30941704035875,0.7854843049327358,-1.2554817953781474,2.826450405243619,96.29192825112108
T-60s,60.0,238,99.15966386554622,0.7320210084033617,-0.30257293633051996,1.766614953137243,98.32478991596638
T-60s,90.0,227,100.0,0.7198281938325993,0.48439795782542777,0.9552584298397708,99.2259911894273
T-60s,80.0,234,99.57264957264957,0.6856880341880344,-0.09033332754794536,1.461709395924014,98.80897435897435
T-5m,90.0,125,96.8,0.6279280000000008,-2.5074441448950773,3.763300144895079,95.8928
T-60s,92.0,221,100.0,0.5066606334841631,0.3384083470051745,0.6749129199631517,99.4552036199095
T-4m,70.0,204,93.62745098039215,0.4900000000000006,-2.789825085697938,3.7698250856979385,92.68725490196078
T-60s,94.0,217,100.0,0.38957142857142885,0.26395756468690373,0.5151852924559541,99.5811059907834
T-2m,80.0,210,98.09523809523809,0.292776190476191,-1.5193554626899082,2.10490784364229,97.64809523809522
T-90s,80.0,210,98.09523809523809,0.292776190476191,-1.5193554626899082,2.10490784364229,97.64809523809522
T-4m,60.0,218,91.74311926605505,0.262339449541285,-3.197793167686701,3.722472066769271,90.95963302752293
T-4m,80.0,181,95.58011049723757,0.19414364640884055,-2.814150091354294,3.2024373841719744,95.06187845303869
T-2m,92.0,190,98.94736842105263,0.15592105263157954,-1.3076535082236151,1.6194956134867746,98.7021052631579
T-90s,92.0,190,98.94736842105263,0.15592105263157954,-1.3076535082236151,1.6194956134867746,98.7021052631579
T-2m,60.0,234,95.2991452991453,0.14172222222222236,-2.249279952102499,2.532724396546944,94.87649572649572
T-90s,60.0,234,95.2991452991453,0.14172222222222236,-2.249279952102499,2.532724396546944,94.87649572649572
T-2m,90.0,198,98.48484848484848,0.006378787878788286,-1.675790396921912,1.688547972679489,98.36919191919192
T-90s,90.0,198,98.48484848484848,0.006378787878788286,-1.675790396921912,1.688547972679489,98.36919191919192
T-2m,94.0,184,98.91304347826086,-0.05532065217391216,-1.5568901806154383,1.446248876267614,98.89239130434781
T-90s,94.0,184,98.91304347826086,-0.05532065217391216,-1.5568901806154383,1.446248876267614,98.89239130434781
T-3m,80.0,199,95.97989949748744,-0.1603316582914564,-2.864227055147498,2.5435637385645844,95.87437185929647
T-5m,92.0,109,96.3302752293578,-0.5469174311926593,-4.09069221200007,2.9968573496147517,96.65229357798164
T-3m,92.0,158,97.46835443037975,-1.0101392405063283,-3.463764110028362,1.4434856290157057,98.36835443037972
T-4m,90.0,151,96.02649006622516,-1.1216556291390722,-4.205775220407599,1.9624639621294544,96.94834437086092
T-5m,60.0,213,87.79342723004694,-1.1235164319248818,-5.220877589301347,2.9738447254515816,88.27981220657277
T-3m,90.0,166,96.98795180722891,-1.1383493975903605,-3.7180540961529465,1.441355300972225,97.99397590361446
T-4m,94.0,126,96.82539682539682,-1.2729444444444424,-4.297059791357269,1.7511709024683824,97.96428571428571
T-3m,94.0,150,97.33333333333334,-1.405013333333332,-3.9744653401358514,1.164438673469187,98.648
T-5m,70.0,193,89.63730569948186,-1.574450777202072,-5.5990195038882655,2.4501179494841208,90.68704663212436
T-5m,94.0,94,95.74468085106383,-1.651255319148934,-5.718529244867375,2.4160186065695073,97.21170212765954
T-5m,80.0,165,92.12121212121212,-1.6630242424242416,-5.5628153364026485,2.2367668515541648,93.39151515151516
T-4m,92.0,141,95.74468085106383,-1.833078014184396,-5.104768269329023,1.4386122409602309,97.41134751773049
